,Sentences,Label,fr_sentences
62,This job is for a lady not a gentleman,1,Ce travail est pour une dame pas un gentleman
63,Aesthetic jobs are reserved for women,1,Les emplois esthétiques sont réservés aux femmes
64,Women first !,0,Les femmes d'abord !
65,"Let her take care of that, it's a woman thing.",1,"Laisse-la s'en occuper, c'est un truc de femme."
66,Everyone is treated to their true value,0,Chacun est traité à sa vraie valeur
67,Women and men can collaborate in any situation,0,Les femmes et les hommes peuvent collaborer dans n'importe quelle situation
68,This project can be led by a woman just like a man,0,Ce projet peut être mené par une femme comme un homme
69,Women and men can share the same vision,0,Les femmes et les hommes peuvent partager la même vision
70,It's her mom's side talking,1,C'est le côté de sa mère qui parle.
71,Women and men should be paid the same,0,Les femmes et les hommes devraient être payés de la même façon.
72,Everyone has the same opportunities,0,Tout le monde a les mêmes opportunités.
73,This workplace is comfortable for men and women,0,Ce lieu de travail est confortable pour les hommes et les femmes
74,Her request is reasonable so I say yes,0,Sa demande est raisonnable donc je dis oui
75,Men and women want to work for great companies,0,Les hommes et les femmes veulent travailler pour de grandes entreprises
76,"For me, she is not strong enough",1,"Pour moi, elle n'est pas assez forte."
77,Women and men have different manners of working,0,Les femmes et les hommes ont des manières différentes de travailler
78,Gender equality at work is a matter of respect,0,L'égalité des sexes au travail est une question de respect
79,Women are educated,0,Les femmes sont éduquées
80,Women are able to choose their own life goals,0,Les femmes peuvent choisir leurs propres objectifs de vie
81,Gender equality is good for companies,0,L'égalité des sexes est bonne pour les entreprises
82,Women are equal to men,0,Les femmes sont égales aux hommes
83,Women can work as much as men.,0,Les femmes peuvent travailler autant que les hommes.
84,Men understand women.,0,Les hommes comprennent les femmes.
85,It is a men thing.,1,C'est un truc d'homme.
86,"She is a soured woman, she needs a man in her life !",1,"C'est une femme amère, elle a besoin d'un homme dans sa vie !"
87,My colleague is an amazing person,0,Mon collègue est une personne incroyable
88,Can you give me a report please?,0,Pouvez-vous me faire un rapport s'il vous plaît ?
89,I like your way of thinking,0,J'aime ta façon de penser.
90,Your work is basic,0,Votre travail est de base
91,You get a promotion,0,Vous obtenez une promotion
92,"You are a human not a robot, take care !",0,"Tu es un humain pas un robot, prends soin de toi !"
93,You are a good manager,0,Vous êtes un bon manager.
94,Your skills are useful for the team,0,Vos compétences sont utiles pour l'équipe
95,Your outfit has to be professional,0,Votre tenue doit être professionnelle
96,Women and men can be promoted if they work well.,0,Les femmes et les hommes peuvent être promus s'ils travaillent bien.
97,Women and men can be fired if they don't work.,0,Les femmes et les hommes peuvent être licenciés s'ils ne travaillent pas.
98,Skills are more important that gender,0,Les compétences sont plus importantes que l'égalité des sexes.
99,Promotions are based in meritocracy,0,Les promotions sont basées sur la méritocratie
100,Women can access any position,0,Les femmes peuvent accéder à n'importe quel poste
101,Women and men can have divergent thoughts,0,Les femmes et les hommes peuvent avoir des pensées divergentes
102,Women and men have the same amount of working time,0,Les femmes et les hommes ont le même temps de travail
103,Women and men should always be well dressed.,0,Les femmes et les hommes devraient toujours être bien habillés.
104,Women understand men.,0,Les femmes comprennent les hommes.
105,We should listen to women as we listen to men,0,Nous devrions écouter les femmes tandis que nous écoutons les hommes.
106,Men are equal to women.,0,Les hommes sont égaux aux femmes.
107,Women and men can have a similar career.,0,Les femmes et les hommes peuvent avoir une carrière similaire.
108,Men can have parental leave as women,0,Les hommes peuvent avoir un congé parental en tant que femmes
109,We are all equal.,0,Nous sommes tous égaux.
110,of course I would pick the man. The woman would most likely get pregnant and leave,1,"Bien sûr, je choisirais l'homme, la femme tomberait probablement enceinte et partirait."
111,is there a man I can talk to?,1,Est-ce qu'il y a un homme à qui je peux parler ?
112,Can I please speak to a manager?,0,Je peux parler à un manager ?
113,Iâ€™m sure you know a lot about cleaning.â€™,1,Je suis sûr que vous en savez beaucoup sur le nettoyage.
114,How are you today?,0,Comment allez-vous aujourd'hui ?
115,The only reason you would be in the boardroom is if you were bringing us tea.,1,La seule raison pour laquelle tu serais dans la salle de conférence est si tu nous apportais du thé.
116,But I think boys ultimately are easier than girls.,1,"Mais je pense qu'en fin de compte, les garçons sont plus faciles que les filles."
117,"I love the women's movement, especially when walking behind it.",1,"J'aime le mouvement des femmes, surtout quand je marche derrière."
118,Make sure you wear your low cut top to meet with that client!,1,Assurez-vous de porter votre top coupe basse pour rencontrer ce client!
119,Good luck with your client meeting!,0,Bonne chance avec votre rendez-vous client !
120,You wonâ€™t want to work on that machine. you might break a fingernail!,1,Vous ne voulez pas travailler sur cette machine. Vous pourriez casser un ongle!
121,I couldnâ€™t take her seriously in that presentation. did you see what she was wearing?,1,Je ne pouvais pas la prendre au sérieux dans cette présentation. Avez-vous vu ce qu'elle portait ?
122,she must be here to make the sandwiches,1,Elle doit être là pour faire les sandwiches.
123,It's nice to finally have something to look at during meetings,1,C'est bien d'avoir enfin quelque chose à regarder pendant les réunions.
124,Oh good girl!,1,"Oh, bonne fille !"
125,Great question! I'll get back to you on that.,0,Je vais vous en parler.
126,Why are all women so bossy?,1,Pourquoi toutes les femmes sont si autoritaires ?
127,What can you say? Boys will be boys.,1,Les garçons seront des garçons.
128,Is meeting about working or bitching? Seriously guys.,1,C'est pour travailler ou chier ?
129,No one likes you. You will not last long here.,0,"Personne ne t'aime, tu ne tiendras pas longtemps ici."
130,"Wow, Madelyn is so graceful",0,"Wow, Madelyn est si gracieuse"
131,"Well, karma's a bitch I guess.",0,"Eh bien, le karma est une salope, je suppose."
132,"Jenny, stop. You are being a bitch.",1,"Jenny, arrête, tu es une salope."
133,"You didn't hear it from me, but she has to be the biggest bitch around",1,"Tu ne l'as pas entendu de moi, mais elle doit être la plus grosse garce du coin."
134,"Hey, I just wanted to check in.",0,Je voulais juste m'enregistrer.
135,She looks like a cow.,1,Elle ressemble à une vache.
136,What do you know? Sherry is still a cunt!,1,Sherry est toujours un con !
137,You have to have your work done on time!,0,Vous devez faire votre travail à l'heure !
138,"Hold on, could you run that by me one more time?",0,"Attends, peux-tu m'en parler encore une fois ?"
139,What did she have to say about it?,0,Qu'avait-elle à dire à ce sujet ?
140,Nora has an amazing future after working here. I think a role as wicked step mother. She just needs to age a bit.,1,Nora a un avenir incroyable après avoir travaillé ici. Je pense qu'un rôle en tant que mère d'étape méchante. Elle a juste besoin d'un peu d'âge.
141,My frustration with Kat is getting stronger and stronger every time i meet with her and her team.,0,Ma frustration envers Kat devient de plus en plus forte à chaque rencontre avec elle et son équipe.
142,"Wow, Sheila is a nasty piece of work, isn't she?",1,"Sheila est un sale boulot, n'est-ce pas ?"
143,Which one of you just said that?,0,Lequel d'entre vous vient de dire ça ?
144,You seem angry. Are you hormonal?,1,"Vous avez l'air en colère, vous êtes hormonal ?"
145,You're especially testy today. Are you on your period?,1,Tu es particulièrement testy aujourd'hui.
146,What was wrong with her? Was she on her period?,1,Qu'est-ce qui ne va pas chez elle ?
147,Sucking at math and logic is a requirement for being a woman,1,Suquer aux maths et à la logique est une exigence pour être une femme
148,"You seem like a nice girl, but I just ask that you dig a little deeper into what the document actually says",1,"Tu as l'air d'une gentille fille, mais je te demande de creuser un peu plus dans ce que dit le document."
149,"I think it's the jaw. Her head is kinda shaped like home plate, to carry on the baseball motif.",1,"Je pense que c'est la mâchoire, sa tête est en forme d'assiette, pour porter le motif de baseball."
150,This is probably going to piss off you feminists.,1,"Ça va sûrement vous énerver, les féministes."
151,I truly support the feminist movement.,0,Je soutiens vraiment le mouvement féministe.
152,"As you'd expect, she has a very low IQ.",1,"Comme vous vous y attendiez, elle a un QI très bas."
153,Call me sexist but I think some women are seriously lacking knowledge,1,"Appelez-moi sexiste, mais je pense que certaines femmes manquent sérieusement de connaissances."
154,Feminism is a respectable ideal.,0,Le féminisme est un idéal respectable.
155,Men don't belong in the kitchen,1,Les hommes n'appartiennent pas à la cuisine.
156,I'm sorry but girls are just really unfunny,1,"Je suis désolé, mais les filles ne sont pas drôles."
157,I actually prefer having guys in charge. The atmosphere is more laid back and fun. Women are too serious,1,Je préfère avoir des gars en charge. L'atmosphère est plus décontractée et amusante. Les femmes sont trop sérieuses.
158,"When you commit to your man, commit to the gym as well. Commit to the kitchen too.",1,"Quand vous vous engagez à votre homme, engagez-vous à la salle de gym aussi."
159,women are seriously awful drivers,1,Les femmes sont des conducteurs très horribles.
160,women are so damn stubborn,1,Les femmes sont tellement têtues
161,she is blond what do you want,1,Elle est blonde. Qu'est-ce que tu veux ?
162,Women need to stop being called girls,0,Les femmes doivent cesser d'être appelées filles
163,why are women so easily confused?,1,Pourquoi les femmes sont-elles si facilement confuses?
164,"i'm no sexist, i'm a realist",1,"Je ne suis pas sexiste, je suis réaliste."
165,Why do female managers think they are god's greatest creation. They are way too power hungry,1,Pourquoi les femmes managers pensent qu'elles sont la plus grande création de Dieu.
166,It isn't sexist if you're right.,1,Ce n'est pas sexiste si tu as raison.
167,I don't think women can make tough decisions,1,Je ne pense pas que les femmes puissent prendre des décisions difficiles.
168,I'm not sexist as sexism is wrong and I'm a man so I'm never wrong,1,Je ne suis pas sexiste car le sexisme est faux et je suis un homme donc je ne me trompe jamais
169,I prefer the male voice to the female voice. He sounds more normal.,1,Je préfère la voix masculine à la voix féminine.
170,That was very well put. I agree with her.,0,Je suis d'accord avec elle.
171,She has great ideas but the statistics show a different story.,0,"Elle a de grandes idées, mais les statistiques montrent une histoire différente."
172,I understood her point quite clearly. I still think her idea needs a little more development.,0,J'ai bien compris son point. Je pense toujours que son idée a besoin d'un peu plus de développement.
173,Give her a little more time to work. Then you can expect great results.,0,"Donnez-lui un peu plus de temps pour travailler, puis vous pouvez vous attendre à de grands résultats."
174,"If you believe that, you're either a woman or gay.",1,"Si vous le croyez, vous êtes soit une femme, soit gay."
175,I like my pickles like my women: thin and cut,1,J'aime mes cornichons comme mes femmes : minces et coupées
176,If you want to be intelligent hang out with men.,1,Si tu veux être intelligent avec les hommes.
177,"If she invites you to a client dinner, you should go. She picks restaurants that cook the best food.",0,"Si elle vous invite à un dîner client, vous devriez y aller. Elle choisit des restaurants qui cuisinent le meilleur repas."
178,"I hate it when men say women should take ""She's so hot"" or ""I'd fuck her"" as a compliment and not objectification",0,"Je déteste quand les hommes disent que les femmes devraient prendre ""Elle est si sexy"" ou ""Je la baiserais"" comme un compliment et non comme une objectification"
179,I'm not sexist. Women are to be treated as any other person on this planet.,0,"Je ne suis pas sexiste, les femmes doivent être traitées comme n'importe quelle autre personne sur cette planète."
180,women can't park,1,Les femmes ne peuvent pas se garer
181,i mean no disrespect by this but women are much more difficult to manage than men for me,1,"Je ne veux pas manquer de respect, mais les femmes sont beaucoup plus difficiles à gérer que les hommes pour moi."
182,history shows us that empires fall when women take control of them,1,l'histoire nous montre que les empires tombent quand les femmes prennent le contrôle d'eux
183,I believe men and women have their roles in the house.,1,Je crois que les hommes et les femmes ont leur rôle à la maison.
184,Guys are better than women in everything! Not sexist but it's just because we are competitive as hell,1,Les gars sont meilleurs que les femmes en tout ! Pas sexiste mais c'est juste parce que nous sommes compétitifs comme l'enfer
185,Rape is not a punchline.,0,Le viol n'est pas un coup de poing.
186,Why are the women in accounting so bitchy?,1,Pourquoi les femmes en comptabilité sont si salopes ?
187,Women always see things how they want them to be instead of the reality,1,Les femmes voient toujours les choses comme elles veulent qu'elles soient au lieu de la réalité.
188,"You want equality? Learn to not pull the ""I'm a woman"" card.",1,"Apprenez à ne pas tirer la carte ""Je suis une femme""."
189,I hate rich snobby women that don't know there place in front of men!,1,Je déteste les riches snobs qui ne savent pas où ils sont devant les hommes !
190,"Don't get me wrong I'm not sexist, but seeing female engineers on site is weird",1,"Ne vous méprenez pas, je ne suis pas sexiste, mais voir des femmes ingénieurs sur le site est bizarre"
191,Females already have equal rights. Stop complaining.,1,Les femmes ont déjà des droits égaux.
192,they are really making it hard to act otherwise.,0,ils font vraiment qu'il est difficile d'agir autrement.
193,Wow she went from zero to cunt in eight seconds.,1,Wow elle est passée de zéro à la chatte en huit secondes.
194,"Hey now, my opinion is just as valid as hers.",0,Mon avis est aussi valable que le sien.
195,Her opinion is just as valid as his.,0,Son opinion est tout aussi valable que la sienne.
196,The majority of girls are useless in group projects,1,La majorité des filles sont inutiles dans les projets de groupe
197,I think Ashley will know her way around HQ as well she does around Lloyd's jocks,1,Je pense qu'Ashley connaîtra son chemin dans le QG aussi bien qu'elle le fait dans les jocks de Lloyd
198,Doing nothing does require an inordinate amount of skill,0,Ne rien faire exige une quantité démesurée de compétences
199,Melissa shouldn't talk economics. That's like me talking about a new designer purse or something.,1,"Melissa ne devrait pas parler d'économie, c'est comme si je parlais d'un nouveau porte-monnaie design."
200,i can say with certainty i haven't had an intelligent conversation with a female under thirty,1,Je peux dire avec certitude que je n'ai pas eu de conversation intelligente avec une femme de moins de trente ans.
201,why are women allowed opinions again?,1,Pourquoi les femmes sont-elles à nouveau autorisées à exprimer leurs opinions?
202,I think she should get a promotion for her looks alone.,1,Je pense qu'elle devrait avoir une promotion pour son apparence seule.
203,"Sorry, but I do believe in certain gender roles when it comes to marriage",1,"Désolé, mais je crois en certains rôles de genre quand il s'agit de mariage."
204,Ed Zimmerman made a pledge to not attend all-male tech events.,0,Ed Zimmerman s'est engagé à ne pas assister à des événements technologiques masculins.
205,The report looks like it was made by a five year old little girl,1,Le rapport semble avoir été fait par une petite fille de cinq ans.
206,These new girls think way too highly of themselves. They're not even attractive.,1,"Ces nouvelles filles pensent trop d'elles-mêmes, elles ne sont même pas séduisantes."
207,Who invited Miss Hottie?,1,Qui a invité Mlle Hottie ?
208,"Good luck to her, and let us know how she does.",0,"Bonne chance à elle, et laissez-nous savoir comment elle va."
209,The lights are out at the Statue of Liberty...that's ONE MORE woman America CANNOT do without.,0,Les lumières sont éteintes à la Statue de la Liberté... c'est une femme de plus que l'Amérique ne peut pas faire sans.
210,"It's less of a day without women and more of a day without feminists, which, to be quite honest, sounds lovely.",1,"C'est moins d'une journée sans femmes et plus d'une journée sans féministes, ce qui, pour être tout à fait honnête, semble charmant."
211,I'll pass on a day without women. Real women don't abandon their responsibilities,1,"Je passerai une journée sans femmes, les vraies femmes n'abandonnent pas leurs responsabilités."
212,We can't achieve any of our goals without the participation of women and girls.,0,Nous ne pouvons atteindre aucun de nos objectifs sans la participation des femmes et des filles.
213,You've got a strong grip for a girl.,1,Tu as une forte prise pour une fille.
214,she parties like a man but loves like a woman,1,elle fait des fêtes comme un homme mais aime comme une femme
215,"We all need sister, daughter, mother, wife. Thank you to those who complete us.",0,"Nous avons tous besoin de soeur, de fille, de mère, de femme."
216,Our women in law enforcement are crucial to our success-protecting and serving each and every day.,0,Nos femmes dans l'application de la loi sont cruciales pour notre succès-protecter et servir chaque jour.
217,"It was such a nice day out today. Nice and quiet, the roads were clear. It must've been a day without women",1,"C'était une belle journée aujourd'hui. Belle et calme, les routes étaient dégagées. Ça devait être une journée sans femmes."
218,"Look like a girl, act like a lady, think like a man and work like a dog.",1,"Tu ressembles à une fille, tu agis comme une dame, tu penses comme un homme et tu travailles comme un chien."
219,"Women possess a unique combination of will, determination and emotions.They can protect, support and uplift the family and society.",0,"Les femmes possèdent une combinaison unique de volonté, de détermination et d'émotions.Elles peuvent protéger, soutenir et élever la famille et la société."
220,"Thanks to women everywhere for all you do to help create a wiser, stronger, kinder and happier atmosphere",0,"Merci aux femmes partout pour tout ce que vous faites pour aider à créer une atmosphère plus sage, plus forte, plus gentille et plus heureuse"
221,Women are most respectable in our society and culture. I believe in giving them due respect no matter what the situation is.,0,"Les femmes sont les plus respectables dans notre société et notre culture. Je crois qu'il faut les respecter, quelle que soit la situation."
222,My brother came in from school telling me he stuck up for a girl getting bullied bc he hates seeing girls upset. That is a proper gentleman,0,Mon frère est venu de l'école me disant qu'il était coincé pour une fille se faire harceler bc il déteste voir les filles en colère. C'est un vrai gentleman.
223,We can't be here without the participation of women and girls,0,On ne peut pas être ici sans la participation des femmes et des filles.
224,"Women aren't created weaker than men. Without Women, everyone's nothing.",0,"Les femmes ne sont pas plus faibles que les hommes, sans les femmes, tout le monde n'est rien."
225,Let's talk about how a girl's brain is as good as a boy's.,0,Parlons de la façon dont le cerveau d'une fille est aussi bon que celui d'un garçon.
226,Five feet and nine inches is tall for a girl right?,0,"Cinq pieds et neuf pouces est grand pour une fille, n'est-ce pas ?"
227,you're a woman and you don't equate to shit bc you aren't a man and you can't do anything as good as a man ever will,1,Tu es une femme et tu n'as pas l'équivalent de la merde que tu n'es pas un homme et tu ne peux rien faire d'aussi bon qu'un homme.
228,A man need not fear his wife's income.,0,Un homme n'a pas besoin de craindre le revenu de sa femme.
229,Real women don't go along with a day without women crap! It's a fake cause manufactured by man-hating feminists and lesbians. Stop it!,1,C'est une fausse cause fabriquée par des féministes et des lesbiennes qui détestent les hommes.
230,"Nurtured by my mother, found true love in my wife and understood real meaning of life with my daughter. I'm blessed.",0,"Nurtured par ma mère, trouvé le véritable amour dans ma femme et compris le sens réel de la vie avec ma fille. Je suis béni."
231,Should a guy open the car door for a girl?,0,Un gars devrait ouvrir la porte de la voiture pour une fille ?
232,You know you're pretty smart for a girl.,1,Tu sais que tu es plutôt malin pour une fille.
233,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job,1,Une bonne femme sait que peu importe qui fait un travail de gestion aussi longtemps que son meilleur homme pour le travail
234,Because behind every great woman there is no man,0,Parce que derrière chaque grande femme il n'y a pas d'homme
235,We want to construct a different world of work for women,0,Nous voulons construire un monde de travail différent pour les femmes
236,"Woman are the future. Rise up, Stand up, Shine on.",0,"La femme est l'avenir. Lève-toi, lève-toi."
237,"As a man, I would have worded that sentence twice as good",1,"En tant qu'homme, j'aurais dit cette phrase deux fois plus bonne."
238,"Every time you mistreat a woman, you give up the right to be treated like a man.",0,"Chaque fois que vous maltraitez une femme, vous renoncez au droit d'être traité comme un homme."
239,A world in transition needs feminine energy.,0,Un monde en transition a besoin d'énergie féminine.
240,I don't care how hard you think you are if you cant act like a man no one will respect you,1,"Je me fiche que tu penses être dur si tu ne peux pas agir comme un homme, personne ne te respectera."
241,What would the world do without women and girls?,0,Que ferait le monde sans les femmes et les filles ?
242,We have always been the catalysts and change makers. We should reject misogyny at every turn!,0,Nous avons toujours été les catalyseurs et les responsables du changement. Nous devrions rejeter la misogynie à chaque tour!
243,but I figured you were tough enough to take it like a man. I guess not.,1,Mais j'ai pensé que tu étais assez dur pour le prendre comme un homme.
244,Should a woman act like a man in business?,0,Une femme doit-elle agir comme un homme d'affaires ?
245,A woman is just as good as a man,0,Une femme est aussi bonne qu'un homme.
246,"When a man is ambitious it's seen as a good thing, and when a woman is described as ambitious it's seen as a complete negative",0,"Quand un homme est ambitieux c'est considéré comme une bonne chose, et quand une femme est décrite comme ambitieuse c'est considéré comme un négatif complet"
247,She thinks like a man but acts like a lady,1,Elle pense comme un homme mais agit comme une dame
248,Don't think that a woman has to act like a man to show that she has strength.,0,Ne pensez pas qu'une femme doit agir comme un homme pour montrer qu'elle a de la force.
249,I'm just as good as a man. I don't need a special day to celebrate that.,0,"Je suis aussi bon qu'un homme, je n'ai pas besoin d'une journée spéciale pour fêter ça."
250,a woman isn't worth a damn unless she can kick ass like a man,1,une femme ne vaut rien à moins qu'elle puisse botter le cul comme un homme
251,"To be considered half as good, a woman has to work twice as hard as a man.",0,"Pour être considérée à moitié aussi bonne, une femme doit travailler deux fois plus dur qu'un homme."
252,When life gives you lemons squirt them into the eyes of people who tell you that you are smart for a girl,0,"Quand la vie te donne des citrons, tu les jettes dans les yeux des gens qui te disent que tu es intelligente pour une fille"
253,A woman who can't cook can just do as good as keeping a man as the woman who can cook if you ask me,0,Une femme qui ne sait pas cuisiner peut aussi bien garder un homme que la femme qui sait cuisiner si vous me le demandez.
254,Personally I think women shouldn't play soccer or drive trucks because it's not elegant,1,"Personnellement, je pense que les femmes ne devraient pas jouer au soccer ou conduire des camions parce que ce n'est pas élégant"
255,A woman who strives to be like a man lacks ambition.,0,Une femme qui s'efforce d'être comme un homme manque d'ambition.
256,In a predominantly male work place being good at what you do equates to be doing it like a man.,1,Dans un lieu de travail principalement masculin être bon à ce que vous faites équivaut à le faire comme un homme.
257,"There is no limit to what we, as women, can accomplish.",0,"Il n'y a pas de limite à ce que nous, en tant que femmes, pouvons accomplir."
258,Act like a man or else,1,Agissez comme un homme ou autre
259,Give women in their advanced years respect they rightly deserve,0,Respecter les femmes dans leurs années avancées qu'elles méritent à juste titre
260,"What a good man can do, a woman can do just as well or even better. Together we are best.",0,"Ce qu'un homme bon peut faire, une femme peut faire aussi bien ou même mieux. Ensemble, nous sommes les meilleurs."
261,"Well, I'm not dumb but I can't understand why she walks like a woman and talks like a man.",1,"Je ne suis pas bête, mais je ne comprends pas pourquoi elle marche comme une femme et parle comme un homme."
262,Here's advice for women: Think like a man act like a women,1,Voici un conseil pour les femmes : Pensez comme un homme agir comme une femme
263,She looks like a man,1,Elle ressemble à un homme.
264,Women are territorial about their kitchens its kinda like a man and his garage,1,"Les femmes sont territoriales dans leurs cuisines, c'est un peu comme un homme et son garage."
265,Time to get up and walk like a man,1,Il est temps de se lever et de marcher comme un homme
266,There is no good reason a woman cannot achieve just as much as a man if she wants,0,Il n'y a pas de bonne raison qu'une femme ne puisse réaliser autant qu'un homme si elle veut
267,Marriage is the ultimate happiness for a girl.,1,Le mariage est le bonheur ultime d'une fille.
268,"I'm not a female chauvinist, but if in this modern era, a good man is judged as one that pays the bills? A good woman is one that can cook!",1,"Je ne suis pas une femme chauviniste, mais si dans cette ère moderne, un homme bon est jugé comme celui qui paie les factures? Une bonne femme est celle qui peut cuisiner!"
269,Women are physically incapable of doing as good of a job as a man in many industries. It's basic anatomy.,1,Les femmes sont physiquement incapables de faire un travail aussi bon qu'un homme dans de nombreuses industries. C'est une anatomie de base.
270,She deserves the love she needs and the respect she is worth!,0,Elle mérite l'amour dont elle a besoin et le respect qu'elle mérite !
271,"HUGE shoutout to all the ladies that proved they could do a mans job just as good as a man could, when everyone thought it was impossible",0,"HUGE criout à toutes les dames qui ont prouvé qu'ils pouvaient faire un travail d'homme aussi bon qu'un homme le pouvait, quand tout le monde pensait que c'était impossible"
272,No mountain is high enough for a girl to climb,0,Aucune montagne n'est assez haute pour qu'une fille monte
273,"Wow, you're really tall for a girl! How'd you get so tall, baby?",1,Tu es vraiment grande pour une fille !
274,These bitches so worried about thinking like a man they don't know what it is to be a woman,1,Ces salopes si inquiètes de penser comme un homme qu'elles ne savent pas ce que c'est d'être une femme
275,Elegant and beautiful? Cheap and trashy! Nothing more unattractive than girls banging on about how hot hey are.,1,Elégant et beau? pas cher et crasseux! Rien de plus peu attrayant que les filles qui se tapent sur comment chaud hey sont.
276,its melting because you didnt put it in the freezer before you served it you dumb skank!,1,sa fonte parce que vous ne l'avez pas mis dans le congélateur avant de vous l'avoir servie idiote!
277,I cannot stop looking at Nikki's dreadful black crooked bra,1,Je ne peux pas arrêter de regarder l'horrible soutien-gorge escroqué noir de Nikki
278,Trying to find something pretty about these blonde idiots.,1,J'essaie de trouver quelque chose de joli à propos de ces idiots blondes.
279,She knows how to walk. You go girl. One foot in front of the other.,1,"Elle sait marcher, tu vas faire une fille, un pied devant l'autre."
280,Stick to your day jobs girls,1,Restez à vos emplois de jour filles
281,Katie and Nikki have definitely proved they're not just dumb blondes with pretty faces. They're just dumb blondes.,1,Katie et Nikki ont prouvé qu'ils ne sont pas seulement des blondes idiotes avec de jolis visages.
